codigo_comuna,comuna_residencia,codigo_region,region_residencia,Fase Comuna
15101,Arica,15,Arica y Parinacota,2
15102,Camarones,15,Arica y Parinacota,4
15202,General Lagos,15,Arica y Parinacota,4
15201,Putre,15,Arica y Parinacota,3
1107,Alto Hospicio,1,Tarapacá,2
1402,Camiña,1,Tarapacá,2
1403,Colchane,1,Tarapacá,4
1404,Huara,1,Tarapacá,3
1101,Iquique,1,Tarapacá,2
1405,Pica,1,Tarapacá,2
1401,Pozo Almonte,1,Tarapacá,3
2101,Antofagasta,2,Antofagasta,3
2201,Calama,2,Antofagasta,2
2302,María Elena,2,Antofagasta,2
2102,Mejillones,2,Antofagasta,3
2202,Ollagüe,2,Antofagasta,4
2203,San Pedro de Atacama,2,Antofagasta,3
2103,Sierra Gorda,2,Antofagasta,3
2104,Taltal,2,Antofagasta,3
2301,Tocopilla,2,Antofagasta,3
3302,Alto del Carmen,3,Atacama,2
3102,Caldera,3,Atacama,2
3201,Chañaral,3,Atacama,3
3101,Copiapó,3,Atacama,2
3202,Diego de Almagro,3,Atacama,1
3303,Freirina,3,Atacama,2
3304,Huasco,3,Atacama,2
3103,Tierra Amarilla,3,Atacama,2
3301,Vallenar,3,Atacama,1
4103,Andacollo,4,Coquimbo,3
4202,Canela,4,Coquimbo,3
4302,Combarbalá,4,Coquimbo,1
4102,Coquimbo,4,Coquimbo,2
4201,Illapel,4,Coquimbo,1
4104,La Higuera,4,Coquimbo,2
4101,La Serena,4,Coquimbo,2
4203,Los Vilos,4,Coquimbo,2
4303,Monte Patria,4,Coquimbo,2
4301,Ovalle,4,Coquimbo,1
4105,Paiguano,4,Coquimbo,1
4304,Punitaqui,4,Coquimbo,1
4305,Río Hurtado,4,Coquimbo,3
4204,Salamanca,4,Coquimbo,1
4106,Vicuña,4,Coquimbo,1
5602,Algarrobo,5,Valparaíso,2
5402,Cabildo,5,Valparaíso,2
5502,Calera,5,Valparaíso,1
5302,Calle Larga,5,Valparaíso,1
5603,Cartagena,5,Valparaíso,1
5102,Casablanca,5,Valparaíso,1
5702,Catemu,5,Valparaíso,2
5103,Concón,5,Valparaíso,2
5604,El Quisco,5,Valparaíso,1
5605,El Tabo,5,Valparaíso,1
5503,Hijuelas,5,Valparaíso,2
5201,Isla de Pascua,5,Valparaíso,4
5104,Juan Fernández,5,Valparaíso,4
5504,La Cruz,5,Valparaíso,2
5401,La Ligua,5,Valparaíso,1
5802,Limache,5,Valparaíso,2
5703,Llaillay,5,Valparaíso,1
5301,Los Andes,5,Valparaíso,1
5506,Nogales,5,Valparaíso,1
5803,Olmué,5,Valparaíso,2
5704,Panquehue,5,Valparaíso,2
5403,Papudo,5,Valparaíso,3
5404,Petorca,5,Valparaíso,2
5105,Puchuncaví,5,Valparaíso,1
5705,Putaendo,5,Valparaíso,1
5501,Quillota,5,Valparaíso,2
5801,Quilpué,5,Valparaíso,2
5107,Quintero,5,Valparaíso,2
5303,Rinconada,5,Valparaíso,1
5601,San Antonio,5,Valparaíso,1
5304,San Esteban,5,Valparaíso,1
5701,San Felipe,5,Valparaíso,1
5706,Santa Maria,5,Valparaíso,1
5606,Santo Domingo,5,Valparaíso,2
5101,Valparaiso,5,Valparaíso,2
5804,Villa Alemana,5,Valparaíso,2
5109,Viña del Mar,5,Valparaíso,2
5405,Zapallar,5,Valparaíso,2
13502,Alhué,13,Metropolitana,2
13402,Buin,13,Metropolitana,1
13403,Calera de Tango,13,Metropolitana,2
13102,Cerrillos,13,Metropolitana,1
13103,Cerro Navia,13,Metropolitana,2
13301,Colina,13,Metropolitana,1
13104,Conchalí,13,Metropolitana,1
13503,Curacaví,13,Metropolitana,1
13105,El Bosque,13,Metropolitana,2
13602,El Monte,13,Metropolitana,2
13106,Estación Central,13,Metropolitana,2
13107,Huechuraba,13,Metropolitana,1
13108,Independencia,13,Metropolitana,1
13603,Isla de Maipo,13,Metropolitana,2
13109,La Cisterna,13,Metropolitana,2
13110,La Florida,13,Metropolitana,2
13111,La Granja,13,Metropolitana,2
13112,La Pintana,13,Metropolitana,2
13113,La Reina,13,Metropolitana,2
13302,Lampa,13,Metropolitana,1
13114,Las Condes,13,Metropolitana,2
13115,Lo Barnechea,13,Metropolitana,2
13116,Lo Espejo,13,Metropolitana,2
13117,Lo Prado,13,Metropolitana,2
13118,Macul,13,Metropolitana,1
13119,Maipú,13,Metropolitana,1
13504,María Pinto,13,Metropolitana,1
13501,Melipilla,13,Metropolitana,1
13120,Ñuñoa,13,Metropolitana,2
13604,Padre Hurtado,13,Metropolitana,2
13404,Paine,13,Metropolitana,1
13121,Pedro Aguirre Cerda,13,Metropolitana,2
13605,Peñaflor,13,Metropolitana,2
13122,Peñalolén,13,Metropolitana,2
13202,Pirque,13,Metropolitana,2
13123,Providencia,13,Metropolitana,2
13124,Pudahuel,13,Metropolitana,2
13201,Puente Alto,13,Metropolitana,2
13125,Quilicura,13,Metropolitana,1
13126,Quinta Normal,13,Metropolitana,2
13127,Recoleta,13,Metropolitana,1
13128,Renca,13,Metropolitana,2
13401,San Bernardo,13,Metropolitana,2
13129,San Joaquín,13,Metropolitana,2
13203,San José de Maipo,13,Metropolitana,1
13130,San Miguel,13,Metropolitana,2
13505,San Pedro,13,Metropolitana,2
13131,San Ramón,13,Metropolitana,2
13101,Santiago,13,Metropolitana,1
13601,Talagante,13,Metropolitana,2
13303,Tiltil,13,Metropolitana,1
13132,Vitacura,13,Metropolitana,2
6302,Chépica,6,O’Higgins,1
6303,Chimbarongo,6,O’Higgins,2
6102,Codegua,6,O’Higgins,1
6103,Coinco,6,O’Higgins,2
6104,Coltauco,6,O’Higgins,3
